,Sector,MVP_Weight_%,MSP_Weight_%,MSP_Constrained_%
TECHM.NS,IT,0.0,8.440476841593012,15.0
CIPLA.NS,Pharma,8.356071045854522,3.6913376705250944,15.0
DABUR.NS,FMCG,5.096758574747834,1.1426715635229463e-15,14.999999999999996
ONGC.NS,Energy,1.9486313474788595,9.02825126522638e-15,14.999999999999991
BAJAJ-AUTO.NS,Auto,4.233458553202217,14.336231082116024,11.487196189535217
MARUTI.NS,Auto,0.0,0.0,8.87426143101456
ICICIBANK.NS,Banking,3.532519578331384e-17,16.675124623526834,5.5363387531599795
BRITANNIA.NS,FMCG,5.208600431922086,0.4576405006947923,4.908476117983131
SUNPHARMA.NS,Pharma,2.6286281096284627,1.2741683909142697e-14,4.87488089201309
SBIN.NS,Banking,2.1273624658572702e-16,0.0,3.7891728398520628
NESTLEIND.NS,FMCG,11.293110523776228,25.276753572894783,0.5296737764419782
HDFCBANK.NS,Banking,9.734004325214624,0.0,1.594321191144206e-14
NTPC.NS,Energy,8.622030357677495,3.7766864727180605,1.0772670117213519e-14
HINDUNILVR.NS,FMCG,6.859311259692766,0.0,6.269131370539562e-15
ITC.NS,FMCG,10.079621307139735,0.0,5.331872507666064e-15
RELIANCE.NS,Energy,1.5653354061318585e-16,13.86040317581525,4.33787146859853e-15
HCLTECH.NS,IT,1.2244292504687058,10.255507862648292,2.662127203605876e-15
M&M.NS,Auto,0.0,3.229838197467813,7.445978195780899e-16
TCS.NS,IT,11.277596027352931,0.0,0.0
INFY.NS,IT,0.906292263890385,0.0,0.0
AXISBANK.NS,Banking,0.0,2.6513451314961926e-14,0.0
KOTAKBANK.NS,Banking,1.489817910938562,1.9462776265392926e-14,0.0
DRREDDY.NS,Pharma,9.087229334207814,1.4823146287606393e-15,0.0
WIPRO.NS,IT,1.9544093768067747,0.0,0.0
