,Sector,MVP_Weight_%,MSP_Weight_%,MSP_Constrained_%
ICICIBANK.NS,Banking,0.0,16.675125389299808,15.0
DRREDDY.NS,Pharma,9.08723686583021,6.437539661160162e-15,15.0
BRITANNIA.NS,FMCG,5.208631048386641,0.457633560605857,14.999999999999996
HDFCBANK.NS,Banking,9.734007859026573,0.0,14.999999999999995
NTPC.NS,Energy,8.622026503611155,3.7766774527627898,11.487181876899506
SBIN.NS,Banking,6.870745054161665e-16,0.0,8.874264399500317
BAJAJ-AUTO.NS,Auto,4.2334671928086545,14.33623920039876,5.536345292917798
RELIANCE.NS,Energy,6.941194749285631e-17,13.860393475591797,4.9084944070703616
HINDUNILVR.NS,FMCG,6.859236229082696,4.43786876380277e-15,4.874873780556772
WIPRO.NS,IT,1.9544065940623891,7.968046557932611e-15,3.789169723646856
INFY.NS,IT,0.9062225441352326,0.0,0.5296705194084061
DABUR.NS,FMCG,5.09676815600619,0.0,6.935870801116983e-15
ITC.NS,FMCG,10.079633841144844,1.0717859120119947e-14,6.575779388990661e-15
M&M.NS,Auto,3.1555972196495597e-16,3.2298341044331145,5.872640047494702e-15
ONGC.NS,Energy,1.9486022282633793,0.0,5.627850970430707e-15
MARUTI.NS,Auto,7.788928768985327e-16,1.1383840307219856e-14,5.408647989203762e-15
SUNPHARMA.NS,Pharma,2.6286257351880953,0.0,4.966644390501107e-15
TECHM.NS,IT,6.575733058991046e-17,8.440477804491655,4.6879854521736746e-15
KOTAKBANK.NS,Banking,1.4898151369044728,0.0,4.455393186664439e-15
NESTLEIND.NS,FMCG,11.293134890025645,25.27677254454039,2.523845253019027e-15
AXISBANK.NS,Banking,1.6826708988333968e-15,2.995130488759312e-14,1.7629808688660497e-15
CIPLA.NS,Pharma,8.356069739658002,3.69135989577342,3.1026073143431987e-16
HCLTECH.NS,IT,1.2244227651697117,10.255486572102384,0.0
TCS.NS,IT,11.277692670696112,6.9600462026975e-15,0.0
